2012-03-01 18:27:09 Notice: Notice (8): Undefined property: PagesController::$User in [/home/designbo/public_html/app/controllers/pages_controller.php, line 63]
2012-03-01 18:27:24 Notice: Notice (8): Undefined property: PagesController::$User in [/home/designbo/public_html/app/controllers/pages_controller.php, line 63]
2012-03-01 18:27:50 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 29]
2012-03-01 18:27:50 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 31]
2012-03-01 18:27:50 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 51]
2012-03-01 18:29:14 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 29]
2012-03-01 18:29:14 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 31]
2012-03-01 18:29:14 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 51]
2012-03-01 18:29:41 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 31]
2012-03-01 18:29:41 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 51]
2012-03-01 18:31:47 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 51]
2012-03-01 18:32:38 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 51]
2012-03-01 18:42:31 Notice: Notice (8): Undefined variable: page in [/home/designbo/public_html/app/controllers/pages_controller.php, line 39]
2012-03-01 18:42:31 Notice: Notice (8): Undefined offset:  0 in [/home/designbo/public_html/app/controllers/pages_controller.php, line 48]
2012-03-01 18:42:31 Notice: Notice (8): Undefined index:  id in [/home/designbo/public_html/app/controllers/pages_controller.php, line 49]
2012-03-01 18:42:31 Notice: Notice (8): Use of undefined constant i - assumed 'i' in [/home/designbo/public_html/app/controllers/pages_controller.php, line 49]
2012-03-01 18:42:31 Notice: Notice (8): Undefined offset:  0 in [/home/designbo/public_html/app/controllers/pages_controller.php, line 49]
2012-03-01 18:42:31 Notice: Notice (8): Undefined offset:  0 in [/home/designbo/public_html/app/views/pages/share.ctp, line 29]
2012-03-01 18:42:31 Notice: Notice (8): Undefined offset:  0 in [/home/designbo/public_html/app/views/pages/share.ctp, line 31]
2012-03-01 18:42:31 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 51]
2012-03-01 18:43:29 Notice: Notice (8): Undefined index:  connection in [/home/designbo/public_html/app/controllers/pages_controller.php, line 51]
2012-03-01 18:43:29 Notice: Notice (8): Undefined index:  id in [/home/designbo/public_html/app/controllers/pages_controller.php, line 52]
2012-03-01 18:43:29 Notice: Notice (8): Use of undefined constant i - assumed 'i' in [/home/designbo/public_html/app/controllers/pages_controller.php, line 52]
2012-03-01 18:43:29 Notice: Notice (8): Undefined index:  connection in [/home/designbo/public_html/app/controllers/pages_controller.php, line 52]
2012-03-01 18:43:29 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 51]
2012-03-01 18:43:50 Notice: Notice (8): Undefined index:  id in [/home/designbo/public_html/app/controllers/pages_controller.php, line 52]
2012-03-01 18:43:50 Notice: Notice (8): Use of undefined constant i - assumed 'i' in [/home/designbo/public_html/app/controllers/pages_controller.php, line 52]
2012-03-01 18:43:50 Notice: Notice (8): Undefined index:  i in [/home/designbo/public_html/app/controllers/pages_controller.php, line 52]
2012-03-01 18:43:50 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 51]
2012-03-01 18:44:14 Notice: Notice (8): Undefined index:  id in [/home/designbo/public_html/app/controllers/pages_controller.php, line 54]
2012-03-01 18:44:14 Notice: Notice (8): Use of undefined constant i - assumed 'i' in [/home/designbo/public_html/app/controllers/pages_controller.php, line 54]
2012-03-01 18:44:14 Notice: Notice (8): Undefined index:  i in [/home/designbo/public_html/app/controllers/pages_controller.php, line 54]
2012-03-01 18:44:14 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 51]
2012-03-01 18:45:04 Notice: Notice (8): Undefined index:  id in [/home/designbo/public_html/app/controllers/pages_controller.php, line 54]
2012-03-01 18:45:04 Notice: Notice (8): Undefined offset:  2 in [/home/designbo/public_html/app/controllers/pages_controller.php, line 54]
2012-03-01 18:45:04 Notice: Notice (8): Undefined index:  User in [/home/designbo/public_html/app/views/pages/share.ctp, line 51]
2012-03-01 18:45:14 Notice: Notice (8): Undefined index:  id in [/home/designbo/public_html/app/controllers/pages_controller.php, line 54]
